id;country;city;phone;age;carrier;marital_status
Gabriel Q. Townsend;Côte D'Ivoire (Ivory Coast);Penrith;55(78)36268247;53;OI;Divorced
Colt V. Roberson;United States Minor Outlying Islands;Bismil;55(89)66573422;29;OI;Divorced
Nora Valentine;Belgium;Pemberton;55(69)12955996;32;CLARO;Single
Orlando X. Melendez;Cameroon;Ortacesus;55(31)23946039;44;TIM;Married
Malcolm Hays;Paraguay;Villers-aux-Tours;55(79)65018196;50;CLARO;Married
Amelia Hughes;Anguilla;Oliver;55(69)93006560;18;NEXTEL;Divorced
Noelani Calderon;Virgin Islands, United States;Quellón;55(57)83466821;52;OI;Divorced
Omar C. Vega;Heard Island and Mcdonald Islands;Itapipoca;55(66)48224275;59;CLARO;Divorced
Benjamin Bryant;Nauru;Iqaluit;55(00)50787276;31;NEXTEL;Married
Theodore Crosby;Timor-Leste;Acquafondata;55(05)12957956;60;CLARO;Married
Deacon Gross;Oman;Macklin;55(84)36920133;29;TIM;Divorced
Yetta Harris;Myanmar;Durham;55(36)31815505;54;TIM;Divorced
Kirestin D. Salas;Italy;Shawinigan;55(96)78895784;50;NEXTEL;Married
Madeson D. Maxwell;Iran;Avigliano Umbro;55(21)55231932;19;CLARO;Single
Karina T. Gilbert;Belize;Rezé;55(88)50163285;24;NEXTEL;Single
Clio Q. Hays;Serbia;Wha Ti;55(04)93062805;57;CLARO;Divorced
Ivory S. Haynes;Sweden;Monte San Pietrangeli;55(49)32749690;51;OI;Divorced
Nadine Bradford;Bangladesh;Burdinne;55(76)73833551;28;NEXTEL;Single
Oleg Roberson;Tokelau;Rocca San Felice;55(38)96571684;44;NEXTEL;Divorced
Driscoll Wyatt;Monaco;Santa Cruz;55(25)84753028;54;VIVO;Divorced
Lavinia Mendoza;Lithuania;Rockville;55(05)19032544;31;OI;Married
Wing K. Carroll;Bermuda;Heide;55(55)43522637;43;OI;Married
Conan Cummings;Mexico;Alness;55(46)79928513;29;OI;Single
Yen Mitchell;Romania;Falciano del Massico;55(57)76380895;28;OI;Married
Samuel Merrill;India;Waret-l'Evque;55(41)43142257;48;OI;Divorced
Boris Fry;Finland;Londerzeel;55(32)28682316;41;TIM;Single
Theodore Durham;Botswana;Mielec;55(08)33008954;47;OI;Divorced
Malachi G. Craig;United States Minor Outlying Islands;Venlo;55(18)11705547;35;CLARO;Married
