id;country;city;phone;age;carrier;marital_status
Orlando D. Barrett;Burkina Faso;Kitchener;55(85)37045682;20;TIM;Divorced
Cade Burks;Macao;Daska;55(92)74488387;53;TIM;Single
Vivian Woods;Austria;Dover;55(01)10079733;34;CLARO;Divorced
Dana Singleton;Norfolk Island;Otegem;55(31)76663814;27;TIM;Married
Taylor Bowen;Barbados;Besançon;55(43)42166268;30;NEXTEL;Married
Derek Stanley;Denmark;Lustenau;55(31)86771396;47;VIVO;Single
Amos Pearson;Spain;Shawinigan;55(49)65325633;39;OI;Divorced
Ori Hyde;Kuwait;Vancouver;55(28)44897266;43;CLARO;Divorced
Ivor I. Gaines;British Indian Ocean Territory;Hulst;55(58)16200302;47;TIM;Single
Flynn K. Hoover;Trinidad and Tobago;Ahrensburg;55(38)30380660;52;NEXTEL;Single
Melissa L. Love;Singapore;Mount Isa;55(77)91514751;52;CLARO;Married
Lucian Collins;Belize;Bellegem;55(30)35144285;59;OI;Divorced
Haviva Collins;Greece;Muradiye;55(02)87318343;28;CLARO;Married
Thomas L. Wong;Thailand;Kent;55(18)68017203;41;CLARO;Married
Doris I. Wolfe;Laos;Saint-L�onard;55(26)96707229;27;VIVO;Single
Paloma Knox;Portugal;Bayeux;55(56)61642918;39;CLARO;Divorced
Elijah Martinez;Ireland;Murray Bridge;55(76)89860195;33;OI;Single
Phillip Dennis;Curaçao;Habay;55(15)69555595;24;TIM;Divorced
Dara Briggs;Palau;Airdrie;55(17)51026735;22;VIVO;Divorced
Walter Clarke;Bosnia and Herzegovina;Acerra;55(35)72129208;54;NEXTEL;Single
Bethany Puckett;Singapore;Calestano;55(36)35784174;39;TIM;Married
Gabriel Christian;Hong Kong;Oliver;55(60)16103483;32;VIVO;Divorced
Kaitlin F. Sellers;South Africa;Camarones;55(33)26070338;51;OI;Divorced
Renee Roberts;Saint Barthélemy;Las Cabras;55(93)11306162;26;TIM;Married
Rebecca Farley;Åland Islands;Loksbergen;55(78)75345793;21;OI;Single
Cullen Winters;Bermuda;Lincoln;55(06)74943322;26;TIM;Married
Kai L. Wilkerson;Svalbard and Jan Mayen Islands;Presles;55(96)68720728;26;CLARO;Divorced
Norman Wooten;Saint Barthélemy;Roio del Sangro;55(85)46211249;55;TIM;Divorced
