id;country;city;phone;age;carrier;marital_status
Ralph U. Dominguez;Bhutan;Klemskerke;55(91)21589065;42;NEXTEL;Divorced
Quentin L. Duffy;Armenia;Branchon;55(86)73273675;51;OI;Divorced
Pearl Hurst;Estonia;Aschaffenburg;55(34)64448567;20;OI;Married
Jonas T. Arnold;Australia;Poulseur;55(56)95228680;34;TIM;Divorced
Bert Montoya;Belarus;Dampicourt;55(42)93460905;19;TIM;Divorced
Walker Delgado;Mayotte;South Portland;55(90)36294929;59;VIVO;Married
Blake Forbes;Chile;Viesville;55(28)47149012;58;TIM;Divorced
Jolene Hartman;Sierra Leone;Montbliart;55(59)14070413;45;CLARO;Divorced
Jana A. Larson;Burkina Faso;Malartic;55(67)39746613;31;NEXTEL;Married
Solomon F. Gaines;Macedonia;Jaboatão dos Guararapes;55(49)22413547;24;CLARO;Married
Elizabeth Santana;Kenya;Segni;55(68)34265861;51;CLARO;Married
Hadassah Y. Riggs;Ghana;Buizingen;55(32)66514894;53;VIVO;Divorced
Jessica B. Best;Benin;Wekweti;55(47)73965042;35;VIVO;Divorced
Macon F. Morris;Grenada;Ajaccio;55(88)73623593;20;VIVO;Married
Sybil D. Morton;Montserrat;Gandhidham;55(51)99866709;45;VIVO;Married
Mark Z. Merrill;Montenegro;Sint-Martens-Lennik;55(33)58673596;38;TIM;Married
Lyle Berger;Burundi;Springfield;55(69)60633698;25;NEXTEL;Divorced
Naomi Sharpe;Mayotte;Torino;55(80)32132721;32;CLARO;Single
Myles Ball;Saint Lucia;Grey County;55(08)40800673;20;NEXTEL;Single
William M. Odom;Saint Lucia;Erpion;55(33)84785166;19;CLARO;Married
Jade K. Dawson;Kazakhstan;Sluizen;55(37)53093090;35;VIVO;Married
Barclay P. Franklin;Cocos (Keeling) Islands;Daska;55(95)88286026;29;CLARO;Married
Chandler Howe;Palestine, State of;Neuruppin;55(61)44164008;36;OI;Married
Cathleen Burnett;American Samoa;Kansas City;55(92)25707114;51;NEXTEL;Single
Jakeem Woodard;Mali;Rea;55(36)50391616;54;TIM;Married
Sandra Padilla;Swaziland;Wimmertingen;55(53)94968661;44;NEXTEL;Married
Cedric J. Hatfield;Singapore;Fort Resolution;55(04)22412281;22;VIVO;Divorced
Shaeleigh G. Ford;Malawi;Starachowice;55(09)78390120;51;VIVO;Married
Drew Rogers;Thailand;North Las Vegas;55(25)17231663;59;TIM;Single
Freya Welch;Czech Republic;Landenne;55(21)94904509;50;VIVO;Married
Arsenio C. Warner;Uganda;Itzehoe;55(91)55318898;45;NEXTEL;Divorced
Otto Franks;El Salvador;Leonding;55(96)18417784;46;OI;Divorced
Neil Z. Dunlap;Congo (Brazzaville);Dorval;55(86)75664752;44;NEXTEL;Single
Lara C. Larsen;Liechtenstein;Beaconsfield;55(17)81861266;55;NEXTEL;Divorced
Yoshi E. Morse;Aruba;Thuillies;55(73)66650610;48;VIVO;Married
Drew A. Durham;Northern Mariana Islands;Huasco;55(45)65860019;31;NEXTEL;Married
Amaya Lott;Czech Republic;Chelsea;55(45)37237938;22;TIM;Married
Jemima Dalton;Ghana;San Francisco;55(54)10746849;54;OI;Divorced
Wing Horne;French Polynesia;Terragnolo;55(59)69776674;46;CLARO;Single
Brenda W. Wright;Papua New Guinea;Berwick;55(47)40809233;45;NEXTEL;Married
Elliott M. Rollins;Papua New Guinea;Clarksville;55(94)42463515;39;NEXTEL;Married
Alyssa Z. Valentine;Åland Islands;Penzance;55(59)34795566;30;VIVO;Single
Sade Henry;Mauritania;Greater Hobart;55(60)69326789;58;NEXTEL;Single
Sheila U. Pierce;Suriname;Souvret;55(89)32730531;23;NEXTEL;Married
Isabelle Steele;Dominican Republic;Golspie;55(15)73560590;39;OI;Divorced
Tana Walton;Greenland;Onitsha;55(93)79552161;43;CLARO;Married
Mercedes J. Middleton;Jersey;Vernole;55(40)65211592;53;NEXTEL;Single
Dai J. Robbins;Kiribati;Graz;55(35)67619098;33;VIVO;Single
Gwendolyn E. Morales;Afghanistan;Subiaco;55(56)22183128;36;OI;Divorced
Lila Golden;Finland;Tarvisio;55(97)72079689;32;OI;Divorced
Austin W. Perkins;Costa Rica;Cottbus;55(53)63795725;32;OI;Married
Nathan N. Riley;Belarus;Dutse;55(37)50974540;48;TIM;Divorced
Ali R. Lyons;Macedonia;Matagami;55(92)39831382;60;TIM;Married
Brent Schmidt;United States;Chicago;55(03)73299882;21;VIVO;Married
Coby N. Marquez;Heard Island and Mcdonald Islands;Cranbrook;55(63)74856263;29;VIVO;Divorced
Chantale F. Peck;Libya;Bazel;55(98)23372824;59;TIM;Single
Sade Hawkins;Antigua and Barbuda;Puyehue;55(50)85699534;29;VIVO;Divorced
Meghan Solis;Algeria;Marcedusa;55(39)14221841;37;TIM;Single
