id;country;city;phone;age;carrier;marital_status
Holmes E. Tate;Yemen;Midlands;55(42)23462222;41;NEXTEL;Married
Caldwell Gray;Sri Lanka;Lillois-WitterzŽe;55(90)90643552;46;VIVO;Divorced
Kathleen D. Branch;Zambia;Böblingen;55(20)64264807;29;TIM;Single
Katell Alvarado;Bosnia and Herzegovina;Otukpo;55(74)30856633;45;TIM;Married
Willa Livingston;Singapore;Tallahassee;55(47)89829386;36;NEXTEL;Single
Ryan Franks;Christmas Island;Santa Flavia;55(33)51489713;25;VIVO;Married
Chantale M. Snyder;Liechtenstein;Ehein;55(65)90451059;36;OI;Divorced
Aileen Ray;Turks and Caicos Islands;Verdun;55(12)77199760;38;VIVO;Single
Nita W. Contreras;Norfolk Island;Montleban;55(71)52801885;18;OI;Single
Maite Wolf;Indonesia;ZŽtrud-Lumay;55(91)11684560;48;VIVO;Divorced
Dexter Cummings;French Polynesia;Kitscoty;55(44)92233450;21;OI;Married
Kelly M. Hoover;Botswana;Amravati;55(01)73860733;49;VIVO;Married
Illana P. Copeland;Rwanda;Deline;55(54)95527411;60;VIVO;Married
Leila H. Golden;Luxembourg;Sh�diac;55(26)89238573;36;OI;Single
India I. Meyer;Palestine, State of;Torella del Sannio;55(02)62904740;43;TIM;Divorced
Sopoline Scott;Palestine, State of;Castelvecchio di Rocca Barbena;55(21)37778041;35;CLARO;Married
Dai N. Montgomery;Andorra;Allentown;55(31)43839209;47;NEXTEL;Divorced
Mannix G. Kirkland;Costa Rica;Ururi;55(53)78009008;36;NEXTEL;Married
Hadassah S. Long;Qatar;Las Vegas;55(19)44287373;48;OI;Single
Sage W. Joseph;Monaco;Halen;55(59)21198360;42;OI;Divorced
Sloane Hampton;Bouvet Island;Prenzlau;55(25)24386152;45;OI;Married
Ella S. Cole;Comoros;Fort Collins;55(98)82430839;57;VIVO;Divorced
Phillip Berry;Jersey;Llanwrtwd Wells;55(38)44928872;49;OI;Single
Martina Black;Lithuania;Blumenau;55(53)87726703;53;NEXTEL;Divorced
Adrienne I. Torres;Chad;Racine;55(96)55062553;36;OI;Divorced
Cameron C. Wells;San Marino;Lucknow;55(32)55379298;36;NEXTEL;Single
Reese X. Edwards;Zambia;Moorsel;55(84)96185857;30;CLARO;Married
Chancellor Soto;Malaysia;Drayton Valley;55(89)39066329;50;NEXTEL;Single
Calvin E. Walls;Comoros;Rattray;55(34)21930298;57;NEXTEL;Married
Denton I. Henderson;Niue;Long Eaton;55(27)29828570;55;OI;Single
Ciara Molina;Palestine, State of;Alajuelita;55(50)15437355;18;OI;Single
Elmo Cantrell;Grenada;Bonnyville;55(94)26968707;42;NEXTEL;Married
Ivory V. Tran;Micronesia;Buguma;55(37)39890411;51;CLARO;Married
Jillian Mayer;Ethiopia;Weston-super-Mare;55(07)80168663;27;NEXTEL;Married
Naomi F. Rocha;Montserrat;Clearwater Municipal District;55(58)48138832;48;VIVO;Divorced
Imogene O. Steele;Dominican Republic;Zele;55(01)40942374;32;TIM;Single
Silas Buckley;British Indian Ocean Territory;Armo;55(20)12590527;39;TIM;Single
Holmes M. Strong;Guernsey;Steenhuffel;55(84)17734046;48;NEXTEL;Married
Acton Hahn;Eritrea;Tiel;55(67)87003489;33;CLARO;Single
Evangeline Foster;Saint Martin;Pescopagano;55(30)76347286;52;OI;Divorced
Cadman V. Walton;Morocco;Luttre;55(67)53299576;46;VIVO;Single
Brittany X. Blanchard;Uzbekistan;Saint-Urbain;55(57)49218802;56;VIVO;Single
Yuri Torres;Monaco;Landeck;55(93)93627789;44;CLARO;Married
Brittany K. Townsend;Senegal;Zaria;55(46)14534641;55;CLARO;Married
Marvin G. Lawson;Sao Tome and Principe;Springdale;55(63)37079348;50;OI;Married
Briar Madden;Zambia;Montegranaro;55(81)11285334;46;CLARO;Single
Kelsie B. James;Guinea;Glauchau;55(21)22736523;57;NEXTEL;Single
Lila Munoz;Finland;Tirúa;55(83)83519357;31;OI;Divorced
Xandra Webster;Bosnia and Herzegovina;İslahiye;55(71)24463019;32;CLARO;Divorced
Cara I. Norman;Mali;Uberaba;55(79)29941483;33;OI;Single
