id;country;city;phone;age;carrier;marital_status
Allegra Weiss;Portugal;Castelmarte;55(49)95985704;30;NEXTEL;Single
Troy O. Mueller;Myanmar;Bad Nauheim;55(17)14212072;51;CLARO;Married
Leonard Clay;South Africa;Panketal;55(18)21853620;54;VIVO;Married
Russell J. Buchanan;Ghana;Pitrufquén;55(37)82080242;26;OI;Single
Carter Cash;French Polynesia;Hody;55(92)69416175;48;TIM;Married
Katell Mcintyre;Cook Islands;Sarreguemines;55(31)44109648;49;TIM;Single
Tatum Mueller;Malawi;Amberloup;55(38)96968509;40;NEXTEL;Divorced
Dalton Z. Grant;Bolivia;Fairbanks;55(56)10915398;59;VIVO;Married
Palmer N. Vasquez;Cambodia;Hamburg;55(59)36485453;31;TIM;Married
Ferdinand K. Browning;Somalia;Wakefield;55(03)67243452;20;CLARO;Divorced
Ayanna Castaneda;Lesotho;Reana del Rojale;55(62)76311704;52;TIM;Divorced
Eric G. Montgomery;New Zealand;York;55(39)67614571;59;OI;Married
Sacha F. Duffy;Syria;Isle-aux-Coudres;55(02)78852788;48;VIVO;Single
Lane V. Harris;Brunei;Retie;55(93)20260814;37;OI;Divorced
Emery Franco;Mongolia;Los Angeles;55(13)30156979;20;NEXTEL;Married
Gil Allen;Equatorial Guinea;Johnstone;55(50)54246030;35;TIM;Divorced
Trevor Cooley;Virgin Islands, United States;Huntley;55(13)12552572;50;VIVO;Single
Michael Strong;Moldova;San Bernardo;55(99)50886305;40;NEXTEL;Single
Dillon Oneal;Indonesia;Oakham;55(43)35225035;36;VIVO;Divorced
Cheryl Parker;Tunisia;LaSalle;55(51)37881276;27;CLARO;Single
Hasad W. Dyer;Belarus;Sinaai-Waas;55(84)21726226;42;TIM;Married
Elliott F. Bray;Djibouti;Compiano;55(93)49850238;58;CLARO;Single
Kylan Barker;Tunisia;Bleid;55(14)61253513;34;OI;Divorced
Colby F. Warner;Guinea;Carlton;55(74)54615407;27;NEXTEL;Divorced
Darius N. Craig;Antarctica;Rancagua;55(42)78919275;24;TIM;Single
Plato B. Foster;Bhutan;Mjölby;55(00)77101892;34;CLARO;Married
Nolan Arnold;Greece;Fremantle;55(88)47710571;42;VIVO;Single
Kaseem Travis;Lithuania;Hulste;55(53)66200572;49;CLARO;Married
Joseph V. Larsen;Mauritius;Adana;55(37)27774327;31;NEXTEL;Married
Gary C. Silva;Oman;Allappuzha;55(25)36731601;51;OI;Married
Gay Gould;Mauritania;Cochamó;55(10)59946717;53;NEXTEL;Divorced
Samson Galloway;Swaziland;Inverness;55(33)11886779;36;OI;Married
Nolan Bennett;Spain;Lüneburg;55(40)10491638;31;CLARO;Divorced
Abraham Herman;Australia;Waarloos;55(19)71943449;20;VIVO;Divorced
Keefe Le;Anguilla;Chapecó;55(47)85612209;19;CLARO;Married
Lisandra Bush;Guinea;Denderwindeke;55(46)28851697;39;VIVO;Married
Anjolie A. Hoover;Chile;Overland Park;55(94)90175001;54;CLARO;Single
Blair Montoya;Sweden;Cercepiccola;55(58)56577083;24;TIM;Divorced
Natalie Kramer;Spain;Campobasso;55(74)57231506;20;NEXTEL;Divorced
Edward R. Bell;Equatorial Guinea;Grande Cache;55(13)46222823;25;VIVO;Single
